player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name
597,Aleksandr,Hleb,Aleksandr Hleb,2016,2696,aleksandr-hleb,UdSSR,Minsk,Belarus,1981-05-01,Attacking Midfield,Midfield,,,,19000000,,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/597-1565344980.png?lm=1,https://www.transfermarkt.co.uk/aleksandr-hleb/profil/spieler/597,RU1,Krylya Sovetov Samara
1428,Mike,Hanke,Mike Hanke,2013,60,mike-hanke,Germany,Hamm,Germany,1983-11-05,Centre-Forward,Attack,right,185,,5000000,,null,https://img.a.transfermarkt.technology/portrait/header/1428-1461328392.jpg?lm=1,https://www.transfermarkt.co.uk/mike-hanke/profil/spieler/1428,L1,SC Freiburg
1560,Youssef,El Akchaoui,Youssef El Akchaoui,2012,306,youssef-el-akchaoui,Netherlands,Dordrecht,Morocco,1981-02-18,Left-Back,Defender,,,,1750000,,null,https://img.a.transfermarkt.technology/portrait/header/1560-1649145914.jpg?lm=1,https://www.transfermarkt.co.uk/youssef-el-akchaoui/profil/spieler/1560,NL1,SC Heerenveen
1587,Mario,Eggimann,Mario Eggimann,2012,42,mario-eggimann,Switzerland,Brugg,Switzerland,,Centre-Back,Defender,right,190,,3000000,,null,https://img.a.transfermarkt.technology/portrait/header/1587-1406722979.jpg?lm=1,https://www.transfermarkt.co.uk/mario-eggimann/profil/spieler/1587,L1,null
1726,Heiko,Westermann,Heiko Westermann,2016,610,heiko-westermann,Germany,Alzenau,Germany,1983-08-14,Centre-Back,Defender,right,190,,9000000,,null,https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,https://www.transfermarkt.co.uk/heiko-westermann/profil/spieler/1726,NL1,Ajax Amsterdam
2306,Markus,Miller,Markus Miller,2014,42,markus-miller,Germany,Lindenberg im Allgäu,Germany,1982-04-08,Goalkeeper,Goalkeeper,right,189,,3500000,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/2306-1406703633.jpg?lm=1,https://www.transfermarkt.co.uk/markus-miller/profil/spieler/2306,L1,null
2587,Elyasa,Süme,Elyasa Süme,2016,524,elyasa-sume,Germany,Wesel,Turkey,1983-08-13,Centre-Back,Defender,,,,2000000,,NG360,https://img.a.transfermarkt.technology/portrait/header/s_2587_524_2010_2.jpg?lm=1,https://www.transfermarkt.co.uk/elyasa-sume/profil/spieler/2587,TR1,null
2805,Christian,Pander,Christian Pander,2014,42,christian-pander,Germany,Münster,Germany,1983-08-28,Left-Back,Defender,,,,6500000,,null,https://img.a.transfermarkt.technology/portrait/header/2805-1406703815.jpg?lm=1,https://www.transfermarkt.co.uk/christian-pander/profil/spieler/2805,L1,null
2878,Yassin,Mikari,Yassin Mikari,2012,750,yassin-mikari,Switzerland,Zürich,Tunisia,1983-01-09,Left-Back,Defender,left,172,,2800000,,Rhein AG,https://img.a.transfermarkt.technology/portrait/header/s_2878_750_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/yassin-mikari/profil/spieler/2878,FR1,null
2899,Hervé,Tum,Hervé Tum,2012,2292,herve-tum,Cameroon,Douala,Cameroon,1979-02-15,Centre-Forward,Attack,right,184,,2600000,,null,https://img.a.transfermarkt.technology/portrait/header/2899-1592177597.jpeg?lm=1,https://www.transfermarkt.co.uk/herve-tum/profil/spieler/2899,TR1,null
2923,Andreas,Ivanschitz,Andreas Ivanschitz,2014,3368,andreas-ivanschitz,Austria,Eisenstadt,Austria,1983-10-15,Attacking Midfield,Midfield,left,183,,5500000,,null,https://img.a.transfermarkt.technology/portrait/header/2923-1627808989.jpg?lm=1,https://www.transfermarkt.co.uk/andreas-ivanschitz/profil/spieler/2923,ES1,null
3273,Matthew,Upson,Matthew Upson,2014,1003,matthew-upson,England,Hartismere,England,1979-04-18,Centre-Back,Defender,left,185,,9000000,,null,https://img.a.transfermarkt.technology/portrait/header/s_3273_379_2009_1.jpg?lm=1,https://www.transfermarkt.co.uk/matthew-upson/profil/spieler/3273,GB1,Leicester City
3287,Steve,Banks,Steve Banks,2014,2578,steve-banks,England,London,England,1972-02-09,Goalkeeper,Goalkeeper,right,180,,400000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/steve-banks/profil/spieler/3287,SC1,St. Johnstone FC
3719,Peter,Enckelman,Peter Enckelman,2012,43,peter-enckelman,Finland,Turku,Finland,1977-03-10,Goalkeeper,Goalkeeper,right,188,,1500000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/peter-enckelman/profil/spieler/3719,SC1,Heart of Midlothian FC
3875,Jermain,Defoe,Jermain Defoe,2021,124,jermain-defoe,England,London,England,1982-10-07,Centre-Forward,Attack,right,171,,18000000,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/3875-1483634406.jpg?lm=1,https://www.transfermarkt.co.uk/jermain-defoe/profil/spieler/3875,SC1,Rangers FC
3876,Joe,Cole,Joe Cole,2015,405,joe-cole,England,London,England,1981-11-08,Attacking Midfield,Midfield,right,176,,21000000,,Skillequal Ltd.,https://img.a.transfermarkt.technology/portrait/header/3876-1524234241.jpg?lm=1,https://www.transfermarkt.co.uk/joe-cole/profil/spieler/3876,GB1,Aston Villa
3924,Didier,Drogba,Didier Drogba,2014,631,didier-drogba,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1978-03-11,Centre-Forward,Attack,both,189,,40000000,,null,https://img.a.transfermarkt.technology/portrait/header/3924-1683633427.jpg?lm=1,https://www.transfermarkt.co.uk/didier-drogba/profil/spieler/3924,GB1,Chelsea FC
3942,Martin,Lanig,Martin Lanig,2014,24,martin-lanig,Germany,Bad Mergentheim,Germany,,Defensive Midfield,Midfield,right,190,,3500000,,null,https://img.a.transfermarkt.technology/portrait/header/3942-1407140735.jpg?lm=1,https://www.transfermarkt.co.uk/martin-lanig/profil/spieler/3942,L1,Eintracht Frankfurt
4070,Liam,Ridgewell,Liam Ridgewell,2013,984,liam-ridgewell,England,London,England,1984-07-21,Centre-Back,Defender,both,188,,4500000,,SEM Group plc.,https://img.a.transfermarkt.technology/portrait/header/4070-1520795118.JPG?lm=1,https://www.transfermarkt.co.uk/liam-ridgewell/profil/spieler/4070,GB1,null
4086,Darren,Ambrose,Darren Ambrose,2013,441,darren-ambrose,England,Harlow,England,1984-02-29,Left Midfield,Midfield,right,183,,2000000,,null,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/darren-ambrose/profil/spieler/4086,GR1,null
4361,Dennis,Rommedahl,Dennis Rommedahl,2013,235,dennis-rommedahl,Denmark,Kopenhagen,Denmark,1978-07-22,Right Winger,Attack,right,179,,4000000,,null,https://img.a.transfermarkt.technology/portrait/header/4361-1412867415.jpg?lm=1,https://www.transfermarkt.co.uk/dennis-rommedahl/profil/spieler/4361,NL1,RKC Waalwijk
4742,Christophe,Lepoint,Christophe Lepoint,2022,2715,christophe-lepoint,Belgium,Brussel,Belgium,1984-10-24,Central Midfield,Midfield,right,189,75000,1700000,2023-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/4742-1487766974.jpg?lm=1,https://www.transfermarkt.co.uk/christophe-lepoint/profil/spieler/4742,BE1,RFC Seraing
